JUGADOR;POS;PJ;PI;MIN;PTS;RB;TP;AS;TC;T3;TL;BR;BP;FP;EF;OR;DR;v;Derrota;PF;PC;Equipo;Edad;Altura;FGM;FGA;FTM;FTA;;;;;;;;;;;;;
T. Satoransky;B;73;30;22,5;7,2;3,2;0,2;3,9;0,52;0,47;0,78;0,7;1,1;1,8;11,3;1;2,2;43;39;106,6;106;WAS;26;200,66;2,8;5,3;1;1,3;;;;;;;;;;;;;
J. Meeks;ES/AL;77;0;14,5;6,3;1,6;0,1;0,9;0,40;0,34;0,86;0,4;0,5;0,7;5,5;0,2;1,4;43;39;106,6;106;WAS;30;193,04;2;5,1;1,3;1,5;;;;;;;;;;;;;
R. Sessions;B;15;0;15;5,9;1,3;0,1;3,3;0,39;0,40;0,76;0,5;1;1;6,8;0,3;1;43;39;106,6;106;WAS;32;190,5;1,7;4,3;2,1;2,8;;;;;;;;;;;;;
I. Mahinmi;P;77;0;14,9;4,8;4,1;0,5;0,7;0,56;0,00;0,70;0,5;1,3;3;7,3;1,8;2,3;43;39;106,6;106;WAS;31;210,82;1,8;3,2;1,2;1,7;;;;;;;;;;;;;
J. Smith;P/AP;33;2;8,6;3,4;1,6;0,4;0,4;0,39;0,13;0,91;0,1;0,5;1,3;3,3;0,5;1,1;43;39;106,6;106;WAS;32;213,36;1,4;3,5;0,6;0,6;;;;;;;;;;;;;
T. Frazier;B;59;11;14,2;3;1,9;0,1;3,3;0,40;0,30;0,77;0,8;1;1,6;6,3;0,3;1,6;43;39;106,6;106;WAS;27;185,42;1,2;2,9;0,4;0,5;;;;;;;;;;;;;
C. McCullough;AP;19;0;4,7;2,4;1,3;0,3;0,2;0,43;0,13;0,64;0;0,1;0,4;2,6;0,4;0,9;43;39;106,6;106;WAS;23;205,74;0,9;2,2;0,5;0,7;;;;;;;;;;;;;
D. Robinson;AL;1;0;13;2;5;0;0;0,33;0,00;0,00;1;0;2;6;2;3;43;39;106,6;106;WAS;23;203,2;1;3;0;0;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
