JUGADOR;POS;PJ;PI;MIN;PTS;RB;TP;AS;TC;T3;TL;BR;BP;FP;EF;OR;DR;v;Derrota;PF;PC;Equipo;Edad;Altura;FGM;FGA;FTM;FTA;;;;;;;;;;;;;
K. Allen;B/ES;18;1;5,9;1,1;0,6;0,6;0,7;0,27;0,00;0,78;0,2;0,5;0,8;1,1;0,2;0,4;55;27;104;100,4;BOS;25;190,5;0,3;1,2;0,4;0,5;;;;;;;;;;;;;
X. Silas;ES;2;0;3,5;0;1;1;0;0,00;0,00;0,00;0,5;0;0,5;0;0,5;0,5;55;27;104;100,4;BOS;30;195,58;0;1,5;0;0;;;;;;;;;;;;;
J. Eddie;ES/AL;2;0;3;0;0,5;0,5;0;0,00;0,00;0,00;0,5;0;0;0,5;0;0,5;55;27;104;100,4;BOS;26;200,66;0;0,5;0;0;;;;;;;;;;;;;
J. Lin;B/ES;1;1;25;18;0;0;4;0,42;0,50;1,00;0;3;3;12;0;0;28;54;106,6;110,3;BKN;29;190,5;5;12;7;7;;;;;;;;;;;;;
D. Russell;B/ES;48;35;25,7;15,5;3,9;0,4;5,2;0,41;0,32;0,74;0,8;3,1;1,9;13,7;0,6;3,3;28;54;106,6;110,3;BKN;22;195,58;5,8;14;2;2,7;;;;;;;;;;;;;
R. Hollis-Jeff.;AL/AP;68;59;28,3;13,9;6,8;0,7;2,5;0,47;0,24;0,79;1;1,8;2,1;16,4;1,5;5,3;28;54;106,6;110,3;BKN;23;200,66;5;10,6;3,7;4,6;;;;;;;;;;;;;
D. Carroll;AL/AP;73;73;29,9;13,5;6,6;0,4;2;0,41;0,37;0,76;0,8;1,4;2,3;14,8;1,4;5,1;28;54;106,6;110,3;BKN;26;198,12;4,5;10,8;2,6;3,4;;;;;;;;;;;;;
A. Crabbe;ES/AL;75;68;29,3;13,2;4,3;0,5;1,6;0,41;0,38;0,85;0,6;1;2,2;12,3;0,4;3,9;28;54;106,6;110,3;BKN;26;198,12;4,5;11;1,5;1,8;;;;;;;;;;;;;
S. Dinwiddie;B/ES;80;58;28,8;12,6;3,2;0,3;6,6;0,39;0,33;0,81;0,9;1,6;2,3;14,9;0,5;2,7;28;54;106,6;110,3;BKN;25;198,12;4,1;10,5;2,7;3,4;;;;;;;;;;;;;
C. LeVert;ES/AL;71;10;26,2;12,1;3,7;0,3;4,2;0,44;0,35;0,71;1,2;2,2;2,2;12,7;0,7;2,9;28;54;106,6;110,3;BKN;23;200,66;4,5;10,4;1,9;2,6;;;;;;;;;;;;;
J. Harris;ES/AL;78;14;25,3;10,8;3,3;0,3;1,6;0,49;0,42;0,83;0,4;1,2;2;11,1;0,7;2,7;28;54;106,6;110,3;BKN;26;198,12;3,9;8;1,1;1,3;;;;;;;;;;;;;
T. Booker;P/AP;18;6;21,9;10,1;6,6;0,3;2,1;0,51;0,25;0,56;0,4;1,7;2,4;12,7;2,1;4,5;28;54;106,6;110,3;BKN;30;203,2;4,3;8,3;1,3;2,4;;;;;;;;;;;;;
J. Allen;P;72;31;20;8,2;5,4;1,2;0,7;0,59;0,33;0,78;0,4;1,1;2;12;2;3,4;28;54;106,6;110,3;BKN;27;200,66;3,3;5,5;1,6;2;;;;;;;;;;;;;
D. Cunningham;AL/AP;22;1;20,3;7,5;4,8;0,6;1;0,47;0,38;0,69;0,5;0,8;1,6;10;1,3;3,5;28;54;106,6;110,3;BKN;31;203,2;3;6,3;0,5;0,7;;;;;;;;;;;;;
T. Zeller;P;42;33;16,7;7,1;4,6;0,5;0,7;0,55;0,39;0,67;0,2;0,8;1,9;9,3;1,5;3,1;28;54;106,6;110,3;BKN;28;213,36;3;5,5;1;1,4;;;;;;;;;;;;;
J. Okafor;P;26;0;12,6;6,4;2,9;0,6;0,4;0,57;0,25;0,76;0,1;0,7;1,7;7,4;0,7;2,3;28;54;106,6;110,3;BKN;22;210,82;2,8;5;0,7;1;;;;;;;;;;;;;
I. Whitehead;B/ES;16;0;11,3;6,3;1,6;0,1;1,3;0,47;0,39;0,68;0,5;1,5;1,4;5;0,3;1,4;28;54;106,6;110,3;BKN;24;193,04;2,5;5,4;0,8;1,2;;;;;;;;;;;;;
Q. Acy;P/AP;70;8;19,4;5,9;3,7;0,4;0,8;0,36;0,35;0,82;0,5;0,9;2,1;6,9;0,6;3,1;28;54;106,6;110,3;BKN;27;200,66;1,9;5,2;0,7;0,9;;;;;;;;;;;;;
N. Stauskas;ES;35;0;13,7;5,1;1,8;0,1;1,1;0,39;0,40;0,70;0,1;0,6;0,6;4,7;0,1;1,7;28;54;106,6;110,3;BKN;24;193,04;1,7;4,3;0,5;0,8;;;;;;;;;;;;;
S. Kilpatrick;ES/AL;16;0;11,4;4,9;2,2;0,1;0,9;0,29;0,26;0,95;0,1;1;0,5;3,3;0,1;2,1;28;54;106,6;110,3;BKN;28;193,04;1,6;5,4;1,1;1,2;;;;;;;;;;;;;
T. Mozgov;P;31;13;11,6;4,2;3,2;0,4;0,4;0,56;0,22;0,77;0,2;1,1;1,3;5,7;1;2,1;28;54;106,6;110,3;BKN;31;215,9;1,7;3;0,7;1;;;;;;;;;;;;;
M. Doyle;B/ES;10;0;12,5;3,4;1,8;0,2;1;0,28;0,17;0,50;0,6;0,2;1,3;3;0,3;1,5;28;54;106,6;110,3;BKN;24;193,04;1,3;4,7;0,4;0,8;;;;;;;;;;;;;
J. Webb;AL/AP;10;0;12;1,6;2,4;0;0,4;0,25;0,21;0,00;0,1;0,4;1;2,3;0,8;1,6;28;54;106,6;110,3;BKN;24;205,74;0,6;2,4;0;0;;;;;;;;;;;;;
J. Wiley;AP;5;0;6,6;0,8;2,2;0;0,4;0,25;0,50;0,50;0,2;0;0,8;2,8;0,4;1,8;28;54;106,6;110,3;BKN;23;203,2;0,2;0,8;0,2;0,4;;;;;;;;;;;;;
R. Vaughn;ES;1;0;4;0;0;0;1;0,00;0,00;0,00;0;0;1;1;0;0;28;54;106,6;110,3;BKN;21;198,12;0;0;0;0;;;;;;;;;;;;;
K. Walker;B;80;80;34,2;22,1;3,1;0,3;5,6;0,43;0,38;0,86;1,1;2,2;1,2;19,6;0,4;2,7;36;46;108,2;108;CHA;28;185,42;7,4;17;4,5;5,3;;;;;;;;;;;;;
D. Howard;P;81;81;30,4;16,6;12,5;1,6;1,3;0,56;0,14;0,57;0,6;2,6;3,1;22;3,1;9,3;36;46;108,2;108;CHA;32;210,82;6,2;11,2;4,1;7,2;;;;;;;;;;;;;
J. Lamb;ES/AL;80;18;24,6;12,9;4,1;0,4;2,3;0,46;0,37;0,86;0,8;1,2;1,7;13,3;0,6;3,4;36;46;108,2;108;CHA;26;195,58;4,8;10,4;2,2;2,6;;;;;;;;;;;;;
N. Batum;AP;64;64;31;11,6;4,8;0,4;5,5;0,42;0,34;0,83;1;2;1,1;14,8;0,9;3,9;36;46;108,2;108;CHA;32;205,74;4,2;10,2;1,7;2;;;;;;;;;;;;;
F. Kaminsky;P/AP;79;4;23,2;11,1;3,6;0,2;1,6;0,43;0,38;0,80;0,5;0,8;1,2;10,5;0,6;3,1;36;46;108,2;108;CHA;25;213,36;3,9;9,1;2;2,5;;;;;;;;;;;;;
M. Williams;AP;78;78;25,7;9,5;4,7;0,5;1,2;0,46;0,41;0,83;0,7;0,8;1,5;11,7;0,9;3,8;36;46;108,2;108;CHA;32;205,74;3,3;7,2;1,3;1,6;;;;;;;;;;;;;
M. Kidd-Gilchr.;AL/AP;74;74;25;9,2;4,1;0,4;1;0,50;0,00;0,68;0,7;0,7;1,9;10,2;1,1;2,9;36;46;108,2;108;CHA;24;200,66;3,8;7,6;1,6;2,3;;;;;;;;;;;;;
C. Zeller;P;33;0;19;7,1;5,4;0,6;0,9;0,55;0,67;0,72;0,4;1;2,5;10,5;2;3,3;36;46;108,2;108;CHA;25;213,36;2,6;4,7;1,8;2,6;;;;;;;;;;;;;
M. Monk;B/ES;63;0;13,6;6,7;1;0,1;1,4;0,36;0,34;0,84;0,3;0,8;1;4,4;0,1;0,9;36;46;108,2;108;CHA;20;190,5;2,4;6,7;0,5;0,6;;;;;;;;;;;;;
W. Hernangóm.;P;22;1;11,9;6,1;5,3;0,4;0,5;0,51;0,57;0,76;0,5;0,4;1,5;9,9;1,8;3,5;36;46;108,2;108;CHA;24;210,82;1,9;3,8;2,1;2,8;;;;;;;;;;;;;
J. O'Bryant;P/AP;36;0;10,5;4,8;2,6;0,2;0,4;0,40;0,33;0,84;0,2;0,4;1,3;4,8;0,8;1,8;36;46;108,2;108;CHA;25;205,74;1,9;4,8;0,6;0,7;;;;;;;;;;;;;
M. Carter-Will.;B/ES;52;2;16,1;4,6;2,7;0,4;2,2;0,33;0,24;0,82;0,8;1;1,9;6,5;0,7;1,9;36;46;108,2;108;CHA;26;198,12;1,5;4,4;1,4;1,7;;;;;;;;;;;;;
T. Graham;ES/AL;63;2;16,7;4,3;1,9;0;0,9;0,43;0,41;0,70;0,5;0,4;1,7;5;0,7;1,3;36;46;108,2;108;CHA;24;195,58;1,5;3,5;0,7;0,9;;;;;;;;;;;;;
D. Bacon;ES/AL;53;6;13,5;3,3;2,3;0;0,7;0,38;0,26;0,80;0,3;0,4;0,9;3,9;0,1;2,3;36;46;108,2;108;CHA;22;200,66;1,4;3,6;0,4;0,5;;;;;;;;;;;;;
M. Paige;B;5;0;5,6;2,4;0,8;0;0,6;0,29;0,25;1,00;0;0;0;1,8;0;0,8;36;46;108,2;108;CHA;24;182,88;0,8;2,8;0,4;0,4;;;;;;;;;;;;;
M. Mathiang;P/AP;4;0;5;2;2,5;0;0;0,57;0,00;0,00;0,3;0;1,3;3,8;0,8;1,8;36;46;108,2;108;CHA;25;208,28;1;1,8;0;0,3;;;;;;;;;;;;;
J. Stone;B;23;0;7,6;0,8;1,3;0,1;1,1;0,46;0,46;0,50;0,2;0,3;0,9;2,8;0;1,2;36;46;108,2;108;CHA;29;198,12;0,3;0,6;0;0,1;;;;;;;;;;;;;
N. Mirotic;AP;25;3;24,9;16,8;6,4;0,5;1,6;0,47;0,43;0,82;0,6;1,2;1,8;17,7;0,7;5,6;27;55;102,9;110;CHI;27;208,28;5,7;12,1;2,6;3,2;;;;;;;;;;;;;
Z. LaVine;ES/AL;24;24;27,3;16,7;3,9;0,2;3;0,38;0,34;0,81;1;1,8;2,3;13;0,4;3,5;27;55;102,9;110;CHI;23;195,58;5,7;14,8;3,6;4,5;;;;;;;;;;;;;
S. Kilpatrick;ES/AL;9;1;23,8;15,4;2,8;0,3;1,4;0,44;0,40;0,81;0,7;1,3;0,9;12;0,3;2,4;27;55;102,9;110;CHI;28;193,04;5,2;11,9;2,9;3,6;;;;;;;;;;;;;
L. Markkanen;AL/AP;68;68;29,7;15,2;7,5;0,6;1,2;0,43;0,36;0,84;0,6;1,2;1,5;16,2;1,2;6,3;27;55;102,9;110;CHI;21;213,36;5,5;12,7;2,1;2,4;;;;;;;;;;;;;
K. Dunn;B/ES;52;43;29,3;13,4;4,3;0,5;6;0,43;0,32;0,74;2;2,9;3,3;15,4;0,5;3,8;27;55;102,9;110;CHI;24;193,04;5,5;12,8;1,6;2,2;;;;;;;;;;;;;
B. Portis;P/AP;73;4;22,5;13,2;6,8;0,3;1,7;0,47;0,36;0,77;0,7;1,4;1,8;14,9;2,2;4,6;27;55;102,9;110;CHI;23;210,82;5,2;11,1;1,6;2,1;;;;;;;;;;;;;
J. Holiday;ES/AL;72;72;31,5;12,2;4;0,4;2,1;0,37;0,36;0,82;1,1;1,3;1,9;11,3;0,4;3,6;27;55;102,9;110;CHI;29;198,12;4;10,9;1,9;2,3;;;;;;;;;;;;;
R. Lopez;P;64;64;26,4;11,8;4,5;0,8;1,9;0,53;0,29;0,76;0,2;1,7;1,7;12,6;2,1;2,4;27;55;102,9;110;CHI;30;213,36;5,3;10,1;1,1;1,4;;;;;;;;;;;;;
D. Valentine;ES/AL;77;37;27,2;10,2;5,1;0,1;3,2;0,42;0,39;0,75;0,8;1,3;2,4;12,5;0,6;4,5;27;55;102,9;110;CHI;24;198,12;3,9;9,4;0,5;0,7;;;;;;;;;;;;;
C. Payne;B/ES;25;14;23,3;8,8;2,8;0,4;4,5;0,41;0,39;0,75;1;1,4;1,8;10,8;0,7;2;27;55;102,9;110;CHI;23;190,5;3,5;8,6;0,5;0,6;;;;;;;;;;;;;
J. Grant;ES;74;26;22,8;8,4;2,3;0,1;4,6;0,42;0,33;0,75;0,9;1,2;1,8;10,4;0,4;1,9;27;55;102,9;110;CHI;25;193,04;2,8;6,8;1,9;2,5;;;;;;;;;;;;;
D. Nwaba;AL;70;21;23,5;7,9;4,7;0,4;1,5;0,48;0,35;0,66;0,8;1,1;2,3;10,1;0,2;1,5;27;55;102,9;110;CHI;25;193,04;2,9;6;1,9;2,9;;;;;;;;;;;;;
A. Blakeney;ES/AL;19;0;16,5;7,9;1,7;0,1;1,1;0,37;0,29;0,77;0,4;0,6;1;5,4;1,3;3,4;27;55;102,9;110;CHI;21;193,04;2,8;7,5;1,6;2,1;;;;;;;;;;;;;
N. Vonleh;P;21;4;19;6,9;6,9;0,3;1;0,41;0,30;0,48;0,6;0,8;1,2;10,4;1,7;5,2;27;55;102,9;110;CHI;22;205,74;2,7;6,6;0,6;1,3;;;;;;;;;;;;;
C. Felicio;P;55;16;17,8;5,6;4,2;0,2;1;0,59;0,00;0,67;0,3;1;1,9;8,3;1,5;2,7;27;55;102,9;110;CHI;25;205,74;2,3;3,9;1;1,5;;;;;;;;;;;;;
P. Zipser;AL/AP;54;12;15,3;4;2,4;0,3;0,9;0,35;0,34;0,76;0,4;0,8;1,6;4,2;0,2;2,2;27;55;102,9;110;CHI;24;203,2;1,5;4,3;0,4;0,5;;;;;;;;;;;;;
K. Felder;B;14;0;9,6;3,9;1;0,1;1,4;0,30;0,22;0,92;0,2;1,1;0,8;2,2;0,1;0,9;27;55;102,9;110;CHI;23;175,26;1,4;4,7;0,8;0,9;;;;;;;;;;;;;
R. Arcidiacono;B;24;0;12,7;2;1;0;1,5;0,42;0,29;0,83;0,5;0,5;0,8;3,5;0;1;27;55;102,9;110;CHI;24;190,5;0,7;1,7;0,2;0,3;;;;;;;;;;;;;
Q. Pondexter;ES/AL;23;1;8,5;2;1,2;0,1;0,4;0,29;0,14;0,82;0,3;0,5;1;1,8;0,3;0,8;27;55;102,9;110;CHI;30;200,66;0,6;2,1;0,6;0,7;;;;;;;;;;;;;
O. Asik;P;4;0;15,3;1;2,5;0,5;0,3;0,33;0,00;0,00;0,3;1;1,5;2,3;0,5;2;27;55;102,9;110;CHI;31;213,36;0,5;1,5;0;0,3;;;;;;;;;;;;;
J. Eddie;ES/AL;1;0;3;0;0;0;0;0,00;0,00;0,00;0;0;0;-1;0;0;27;55;102,9;110;CHI;26;200,66;0;1;0;0;;;;;;;;;;;;;
L. James;AL/AP;82;82;36,9;27,5;8,6;0,9;9,1;0,54;0,37;0,73;1,4;4,2;1,7;32,7;1,2;7,5;50;32;110,9;109,9;CLE;33;203,2;10,5;19,3;4,7;6,5;;;;;;;;;;;;;
K. Love;P/AP;59;59;28;17,6;9,3;0,4;1,7;0,46;0,42;0,88;0,7;1,5;2;21;1,7;7,5;50;32;110,9;109,9;CLE;29;208,28;5,7;12,4;4;4,5;;;;;;;;;;;;;
I. Thomas;B;15;14;27,1;14,7;2,1;0,1;4,5;0,36;0,25;0,87;0,6;2,7;1,7;10,5;0,5;1,6;50;32;110,9;109,9;CLE;29;175,26;4,7;12,9;3,9;4,5;;;;;;;;;;;;;
J. Clarkson;B/ES;28;0;22,6;12,6;2,1;0,1;1,7;0,46;0,41;0,81;0,7;1,1;1,6;10,1;0,5;1,6;50;32;110,9;109,9;CLE;26;195,58;4,7;10,3;1,7;2,1;;;;;;;;;;;;;
D. Wade;ES;46;3;23,2;11,2;3,9;0,7;3,5;0,46;0,33;0,70;0,9;2;1,8;12,2;0,8;3,1;50;32;110,9;109,9;CLE;36;193,04;4,3;9,5;2;2,9;;;;;;;;;;;;;
J. Green;AL/AP;78;14;23,4;10,8;3,1;0,4;1,3;0,48;0,31;0,87;0,5;1;1,9;10,7;0,8;2,4;50;32;110,9;109,9;CLE;31;205,74;3,8;7,9;2,6;3;;;;;;;;;;;;;
R. Hood;ES/AL;21;11;25,3;10,8;2,6;0,2;1,4;0,44;0,35;0,81;0,7;0,3;2;9,9;0,4;2,2;50;32;110,9;109,9;CLE;25;203,2;4,2;9,5;1,2;1,5;;;;;;;;;;;;;
D. Rose;B/ES;16;7;19,3;9,8;1,8;0,3;1,6;0,44;0,25;0,85;0,2;1,8;0,9;6,9;0,6;1,2;50;32;110,9;109,9;CLE;29;190,5;3,6;8,3;2,2;2,6;;;;;;;;;;;;;
G. Hill;B/ES;24;24;27,9;9,4;2,7;0,6;2,8;0,44;0,35;0,81;0,9;1,2;2,2;10,6;0,8;1,8;50;32;110,9;109,9;CLE;32;190,5;3,5;7,8;1,4;1,7;;;;;;;;;;;;;
K. Korver;ES/AL;73;4;21,6;9,2;2,3;0,4;1,2;0,46;0,44;0,89;0,4;0,8;1,8;9;0,1;2,1;50;32;110,9;109,9;CLE;37;200,66;3;6,6;0,9;1;;;;;;;;;;;;;
L. Nance, Jr.;P/AP;24;9;20,8;8,9;7;0,8;1;0,55;0,13;0,72;1,2;0,4;2,5;14,9;2,2;4,8;50;32;110,9;109,9;CLE;25;205,74;3,7;6,7;1,5;2,1;;;;;;;;;;;;;
J. Crowder;AL/AP;53;47;25,4;8,6;3,3;0,2;1,1;0,42;0,33;0,85;0,8;0,8;2,3;8,7;0,8;2,5;50;32;110,9;109,9;CLE;27;198,12;3;7,1;1,5;1,7;;;;;;;;;;;;;
J. Smith;ES/AL;80;61;28,1;8,3;2,9;0,1;1,8;0,40;0,38;0,70;0,9;1;2;8,3;0,4;2,6;50;32;110,9;109,9;CLE;32;198,12;3;7,4;0,5;0,7;;;;;;;;;;;;;
T. Thompson;P;53;22;20,2;5,8;6,6;0,3;0,6;0,56;0,00;0,54;0,3;0,7;1,9;10,4;2,4;4,3;50;32;110,9;109,9;CLE;27;205,74;2,5;4,4;0,8;1,5;;;;;;;;;;;;;
C. Frye;P;44;1;12,4;4,8;2,5;0,3;0,6;0,50;0,33;0,93;0,4;0,4;1,2;6,3;0,2;2,3;50;32;110,9;109,9;CLE;35;210,82;1,9;3,8;0,3;0,3;;;;;;;;;;;;;
J. Calderón;B;57;32;16;4,5;1,5;0;2,1;0,50;0,46;0,80;0,5;0,7;1,4;6,1;0,2;1,2;50;32;110,9;109,9;CLE;36;190,5;1,6;3,2;0,4;0,5;;;;;;;;;;;;;
I. Shumpert;ES/AL;14;6;19,7;4,4;2,9;0,3;1,2;0,38;0,27;0,73;0,6;1,1;1,6;5,5;0,5;2,4;50;32;110,9;109,9;CLE;28;196;1,6;4,1;0,8;1,1;;;;;;;;;;;;;
C. Osman;AL/AP;61;12;11;3,9;2;0;0,7;0,48;0,37;0,57;0,4;0,5;1,3;4,5;0,3;1,7;50;32;110,9;109,9;CLE;23;203,2;1,5;3;0,4;0,8;;;;;;;;;;;;;
A. Zizic;P;32;2;6,7;3,7;1,9;0,4;0,2;0,73;0,00;0,72;0,1;0,3;0,9;5,1;0,8;1,1;50;32;110,9;109,9;CLE;21;210,82;1,5;2,1;0,7;0,9;;;;;;;;;;;;;
K. Perkins;P;1;0;15;3;1;0;2;0,50;0,00;0,50;1;1;1;4;0;1;50;32;110,9;109,9;CLE;33;208,28;1;2;1;2;;;;;;;;;;;;;
J. Holland;AL;24;0;7,3;2,3;1;0,1;0,2;0,29;0,31;0,69;0,3;0,3;0,4;1,6;0,3;0,8;50;32;110,9;109,9;CLE;29;195,58;0,7;2,5;0,4;0,5;;;;;;;;;;;;;
L. Perrantes;B;14;0;4,7;0,5;0,3;0,1;0,4;0,15;0,00;0,60;0,1;0,1;0,4;0,4;0,1;0,2;50;32;110,9;109,9;CLE;24;188;0,1;0,9;0,2;0,4;;;;;;;;;;;;;
H. Barnes;AL/AP;77;77;34,2;18,9;6,1;0,2;2;0,45;0,36;0,83;0,6;1,5;1,2;16,8;1;5,1;24;58;102,3;105,4;DAL;26;203,2;7;15,7;3,4;4,1;;;;;;;;;;;;;
D. Smith Jr.;B;69;69;29,7;15,2;3,8;0,3;5,2;0,40;0,31;0,69;1;2,8;2,2;12,8;0,7;3;24;58;102,3;105,4;DAL;20;190,5;5,9;14,8;1,9;2,8;;;;;;;;;;;;;
W. Matthews;ES/AL;63;63;33,8;12,7;3,1;0,3;2,7;0,41;0,38;0,82;1,2;1,3;2,2;11,9;0,4;2,7;24;58;102,3;105,4;DAL;31;195,58;4,5;11,1;1,3;1,6;;;;;;;;;;;;;
D. Nowitzki;P/AP;77;77;24,7;12;5,7;0,6;1,6;0,46;0,41;0,90;0,6;0,7;1,9;14,3;0,3;5,4;24;58;102,3;105,4;DAL;40;213,36;4,5;9,8;1,3;1,4;;;;;;;;;;;;;
J. Barea;B;69;11;23,2;11,6;2,9;0;6,3;0,44;0,37;0,78;0,5;2,1;1,2;13,4;0,2;2,7;24;58;102,3;105,4;DAL;34;182,88;4,4;10;1,2;1,5;;;;;;;;;;;;;
Y. Ferrell;B/ES;82;21;27,8;10,2;3;0,1;2,5;0,43;0,37;0,80;0,8;1;1,9;10,3;0,3;2,7;24;58;102,3;105,4;DAL;25;182,88;3,8;8,9;1;1,3;;;;;;;;;;;;;
D. McDermott;AL;26;3;22,9;9;2,5;0,2;1,1;0,48;0,49;0,86;0,3;0,8;1,9;8,6;0,3;2,3;24;58;102,3;105,4;DAL;26;203,2;3,3;6,9;0,9;1,1;;;;;;;;;;;;;
J. Motley;P/AP;11;4;16;8,7;4,5;0,2;0,6;0,53;0,17;0,54;0,3;0,8;1,6;9,1;1,3;3,2;24;58;102,3;105,4;DAL;23;208,28;3,6;6,8;1,4;2,5;;;;;;;;;;;;;
D. Powell;P;79;24;21,2;8,5;5,6;0,4;1,2;0,59;0,33;0,72;0,8;0,7;2,4;12,9;1,7;3,9;24;58;102,3;105,4;DAL;26;210,82;3,2;5,4;1,7;2,3;;;;;;;;;;;;;
D. Harris;B/ES;44;1;18,3;8,5;1,9;0,2;1,9;0,42;0,35;0,83;0,8;1,1;2,3;8;0,2;1,7;24;58;102,3;105,4;DAL;23;193,04;2,7;6,5;2,1;2,5;;;;;;;;;;;;;
A. Harrison;ES;9;3;25,9;6,7;2,7;0,2;1,2;0,28;0,21;0,77;1;0,3;3;5,4;0,4;2,2;24;58;102,3;105,4;DAL;23;198,12;2,1;7,7;1,4;1,9;;;;;;;;;;;;;
J. Jones;AL/AP;11;0;14,7;6,3;3,2;0,1;0,4;0,39;0,36;0,59;0,5;0,6;1,8;5,5;1;2,5;24;58;102,3;105,4;DAL;25;200,66;2,1;5,3;0,8;1,4;;;;;;;;;;;;;
D. Finney-Smith;AL/AP;21;13;21,3;5,9;3,6;0,2;1,2;0,38;0,30;0,73;0,5;1;2;6,6;1,1;1,8;24;58;102,3;105,4;DAL;25;203,2;2,2;5,8;0,5;0,7;;;;;;;;;;;;;
J. Warney;AL/AP;3;0;9;5,7;3;0;0;0,58;0,00;0,60;0;0,3;0,7;6;1,3;1,7;24;58;102,3;105,4;DAL;24;203,2;2,3;4;1;1,7;;;;;;;;;;;;;
M. Kleber;P/AP;72;35;16,8;5,4;3,3;0,7;0,7;0,49;0,31;0,75;0,4;0,4;1,6;7,5;1;2,3;24;58;102,3;105,4;DAL;26;210,82;2,1;4,3;0,6;0,8;;;;;;;;;;;;;
N. Noel;P;29;6;16,3;4,5;5,8;0,8;0,7;0,52;0,00;0,75;1,1;0,9;2;10;1,6;4;24;58;102,3;105,4;DAL;24;210,82;1,8;3,5;0,7;0,9;;;;;;;;;;;;;
S. Mejri;P;60;1;12,2;3,6;4,1;1,1;0,6;0,64;0,00;0,58;0,4;0,7;2;7,8;1,4;2,6;24;58;102,3;105,4;DAL;32;218,44;1,4;2,2;0,6;1,1;;;;;;;;;;;;;
K. Collinsworth;B/ES;32;2;15;3,2;3,3;0,3;1,8;0,38;0,24;0,53;0,5;0,8;1,4;5,8;1;2,3;24;58;102,3;105,4;DAL;26;198,12;1,2;3,1;0,7;1,3;;;;;;;;;;;;;
G. Clavell;ES;7;0;9,1;2,9;1;0;0,4;0,33;0,40;1,00;0,3;0,3;1,1;2,6;0,1;0,9;24;58;102,3;105,4;DAL;24;193,04;0,9;2,6;0,3;0,3;;;;;;;;;;;;;
J. Withey;P;9;0;4,3;1,7;1,1;0,3;0;0,38;0,20;0,50;0;0,2;0,3;1,7;0,1;0,9;24;58;102,3;105,4;DAL;28;213,36;0,6;1,6;0,1;0,2;;;;;;;;;;;;;
S. Hopson;ES/AL;1;0;8;1;0;0;1;0,00;0,00;0,50;0;1;0;-1;0;0;24;58;102,3;105,4;DAL;28;200,66;0;1;1;2;;;;;;;;;;;;;
A. Cleveland;ES;13;0;6,2;0,8;0,8;0,3;0,2;0,29;0,00;0,50;0,5;0,2;0,8;1,4;0,2;0,6;24;58;102,3;105,4;DAL;24;198,12;0,3;1,1;0,2;0,3;;;;;;;;;;;;;
J. McRoberts;AP;2;0;3;0;0;0;0;0,00;0,00;0,00;0;0;1;-0,5;0;0;24;58;102,3;105,4;DAL;28;200,66;0;0,5;0;0;;;;;;;;;;;;;
N. Jokic;P;75;73;32,6;18,5;10,7;0,8;6,1;0,50;0,40;0,85;1,2;2,8;2,8;27,1;2,6;8,1;46;36;110;108,5;DEN;23;208,28;6,7;13,5;3,5;4,2;;;;;;;;;;;;;
G. Harris;ES;67;65;34,4;17,5;2,6;0,2;2,9;0,49;0,40;0,83;1,8;1,8;1,8;15,9;0,6;2,1;46;36;110;108,5;DEN;23;193,04;6,6;13,6;2;2,4;;;;;;;;;;;;;
J. Murray;B/ES;81;80;31,7;16,7;3,7;0,3;3,4;0,45;0,38;0,91;1;2,1;2,1;15,4;1;2,7;46;36;110;108,5;DEN;21;193,04;5,9;13,1;2,8;3,1;;;;;;;;;;;;;
W. Barton;ES/AL;81;40;33,1;15,7;5;0,6;4,1;0,45;0,37;0,81;1;1,8;2,1;17,1;0,9;4,2;46;36;110;108,5;DEN;27;198,12;5,7;12,7;2,2;2,8;;;;;;;;;;;;;
P. Millsap;P/AP;38;37;30,1;14,6;6,4;1,2;2,8;0,46;0,35;0,70;1;1,9;2,6;16,7;1,7;4,7;46;36;110;108,5;DEN;33;203,2;5,3;11,4;2,9;4,2;;;;;;;;;;;;;
W. Chandler;AL/AP;74;71;31,7;10;5,4;0,5;2,1;0,45;0,36;0,77;0,6;1,2;2,1;12,3;1,4;4;46;36;110;108,5;DEN;31;205,74;3,8;8,5;1,2;1,5;;;;;;;;;;;;;
T. Lyles;P/AP;73;2;19;9,9;4,8;0,5;1,2;0,49;0,38;0,71;0,4;0,8;1,5;11,5;0,8;4;46;36;110;108,5;DEN;22;208,28;3,7;7,5;1,4;2;;;;;;;;;;;;;
E. Mudiay;B;42;0;17,9;8,5;2,2;0,1;2,9;0,40;0,37;0,81;0,5;1,7;1,1;7,6;0,4;1,9;46;36;110;108,5;DEN;22;196;3,1;7,7;1,5;1,9;;;;;;;;;;;;;
D. Harris;B/ES;27;0;19,7;8,2;1,6;0,1;2,5;0,41;0,34;0,85;0,5;1;2;7,9;0,1;1,4;46;36;110;108,5;DEN;23;193,04;2,6;6,3;1,8;2,1;;;;;;;;;;;;;
M. Plumlee;P;74;26;19,4;7,1;5,4;1,1;1,9;0,60;0,00;0,46;0,7;1,4;2,5;11,5;1,8;3,6;46;36;110;108,5;DEN;28;210,82;3;5;1,1;2,4;;;;;;;;;;;;;
